address,label
kazımdirik nah/ sanayi cad galata rezidans/ a blok/709 no lu daire,5720
İsmet Paşa Mah.  Ahmet Taner Kışlalı Cad. No:20/B İlayda Flowers Muğla ,10354
Mimar Sinan Mah. Kubilay cad. No:17/1 Nysa Villaları Efeler Aydın Atabey ilkokulu karşısı ortadaki daire,1702
Keçiliköy osb cumhuriyet bulv. Vestel elektronik fabrika vestel dış ticaret yunusemre manisa,7781
"Üniversite Cd. Park Yaşam Bornova 
A blok daire 4  KAZIMDİRİK BORNOVA İzmir",5715
Muslihittin Mah. Şehit Özden Aşınmaz Cad. Hedef 96 8. Blok Dai: 16 Menteşe/MUĞLA,10190
ATİLLA MAH Atillamahallesi475sokibrahimapartno20kat4daire4.Eşrefpaşa.konak,4815
Yenikent Mahallesi Ruhi Gürsoy Caddesi Ekinkent Sitesi No:36,3200
MUSTAFA KEMAL 6753/1 sokak no:2/4 k:7 d:25 Varyant plu s sitesi MUSTAFA KEMAL KARŞIYAKA İzmir M USTAFA KEMAL   Karşiyaka İZMIR Türkiye,7010
Orta mahalle Hacıyusuflar Sokak no 14 (Irem bebe)  Tavas Denizli  ORTA TAVAS Denizli,234
"Özsüt genel müdürlüğü ana fabrika Kemalpaşa OSB, Ankara Asfaltı Cd. No:51, 35730 Kemalpaşa/İzmir KEMALPAŞA OSB KEMALPAŞA İzmir",5807
3272. SOKAK NO : 7 DAIRE : 1 ,8314
Hürriyet mh General Nahit Tunaşar sk.No 13 d3 Tamer Apt. D3,2110
Adnan Menderes Mahallesi 515 Sokak Evciler Apartmanı No:10 Daire:7 Efeler/Aydın,1277
"8972 Sokak Taksim 5 Güneş Apartmanı, No 6, Daire 13 Uğur Mumcu Mahallesi Harmandalı Çiğli İzmir Güneş Apartmanı,daire 13,izmir,çiğli,harmandalı",7304
Basin Sitesi Mah. 168 sokak no:60/2basın sitesi mahallesi bora karasukişisel gelişim kursu,4714
64 Sokak No 10 Fakülte Taksi Durağı Buca,3956
Ören mah. İskele cad. 127 nolu sok. No3 ÖREN MİLAS Muğla,9649
Koyunbaba Mh. Fuat Köprülü sokak No 25 Gümsan 2 sitesi   Gümüşlük,9905
7 Eylül mahallesi 5530 sokak no 1/4 Torbalı İzmir,2318
Çamtepe mah. Uludağ sk no:8/a GDZ elektrik ,4076
Aşık Veysel sokak Özbel Sitesi Fulya Adası 72/1 İSKELE DATÇA Muğla,9096
istasyon Mahallesi Necip Fazıl Kısakürek Sokak No10 Kat2 Daire10 manisa alasehir Alaşehir,3416
fevzi çakmak mahallesi sakarya caddesi komagane no34 A dükkan,3779
Gazikent mahallesi 73 sokak no:11 d:1 su apartmanı gaziemir/izmir ,2976
232. sokak no:12 Boncuk apart,10140
şirinevler mahallesi doğu denizli bulvarı no:4/a NAZİLLİ / AYDIN,1821
Hürriyet mah. 452.sok no:11 kat:4 D:5 akhisar/MANISA HÜRRİYET AKHİSAR Manisa AKHİSAR Manisa TR ,8334
BİMEYKO 58 SOK. NO:39 ÇANDARLI DİKİLİ / İZMİR,8460
Mithat pasa mahallesi.armutlu sokak no.53,2699
ULUS ulus mahallesi istiklal caddesi no:12 akasya sitesi C blok kat:4 daire:14 menemen İzmir koyundere ,7488
Yalıkavak mahallesi kayacık caddesi no:50 asmalı çardak kahvaltı evi 50,9954
3565 Sokak No:25 Bahçeli müstakil ev Mehtap mah. Gürçeşme/Konak/İZMİR MEHTAP KONAK İzmir,4846
Yeşil mahalle 692 sokak no 12/3 Kat 2 B blok,1898
6002. Sk. Yaşar Kemal Mah. Cumhuriyet Apt. No:8/56 Karabağlar/İzmir YAŞAR KEMAL KARABAĞLAR İzmir,3361
23. Sk. No: 4 Noran Qualite 2 B Blok Daire 4 MURADİYE YUNUSEMRE Manisa,7931
"Kabakum Mah. Sahil Yolu Cd., Elit Yar Sitesi 15/21",8664
KYK KARABAĞLAR ERKEK YURDU Günaltay mah - Karabağlar,3840
Adnan Menderes mahallesi Kızılırmak caddesi no 6 Bahçeşehir Sitesi A blok kat2 daire3,1272
 Atatürk Mahallesi Sahil Caddesi. No:51-53,2034
cumhuriyet cad 79/3 karakaya mah gumusluk/bodrum,9820
"İnciraltı mahallesi, Mithatpaşa Cd. No:56/20 D:115, DEPARK Zeytin Binası",4113
Barbaros mahallesi 5301sk no 1 kat 2 d 204 Bina: 1 Kat: 2 Daire: 204 Bornova - İZMİR,5335
Cami Cedit Mh. Yunus Emre Cd. Faik Çayocağı,7360
8216/1. Sk. No:9B K:2 D:4 Ataşehir Çiğli,6952
"Emek Mahallesi Hamdi Mergen Caddesi Konak Sitesi B Blok 116/2 Kat:1 Daire:2 Milas/MUĞLA
Konak Sitesi B Blok 116/2 K:1 Daire:2",10313
Yenicamii Mah. Tevfik Göztepe sk. Beycity Plus sitesi Dış kapı no:14 C. Kat:12 Daire no:73 Söke/ Aydın YENİCAMİİ SÖKE Aydın,497
Cumhuriyet mahallesi Menemen caddesi no: 7 C blok daire 42 kat:6 Noran park evleri ,7949
ÇAMLIKULE Mah. 220/38 sk no:12 c blok kat:2 daire:5 gümüşkentsitesi Çamlıkule mah Buca İzmir ,3693
Adalet mahallesi 1643/11 sokak no:15 daire 18 ciritoğlu kaan sitesi eda apartmanı bayraklı İZMİR ADALET BAYRAKLI İzmir,6037
Mevlana Mah. 1746/1 sokak mevlana mahallesi no:5-9  Bornova/izmir  Ulusoy Otel,5745
"Gürpınar Mh. İzmir bornova pınarbaşı gürpınar mah 7052 sok no8 kat2,3 BORNOVA İZMİR",5034
Muradiye Mahallesi 3. Sokak No: 7 Noran Style Sitesi F Blok Daire No: 1  Yunusemre MANİSA,7975
307 sok.No:3 Ulkomod sitesi A blok K:1 D:4,3155
Ege Perla AVM Yönetim Ofisi Ozan Abay Cd. Ege Perla AVM No:8 Yönetim ofisi ÇINARLI KONAK İzmir,5652
Patlangıç Mah. 358.Sok Nuri Kaşlı Apt Bina no:31 kat:3 daire:5  PATLANGIÇ FETHİYE Muğla,8786
Güvendik Mah. Güvendik mah. Mavi plaj cad. 204 sok no:15 Çeşmealtı,4632
8809/4 No:19 D:1 Küçükçiğli Mah. Çiğli / İZMİR KÜÇÜK ÇİĞLİ ÇİĞLİ İzmir,7159
Girne mah Naim Süleymanoğlu cad. Yaşam sit. No 24 B blok 3/6,1562
1419 sokak no 34 doğanlar  DOĞANLAR BORNOVA İzmir,5575
ÇANKAYA MAHALLESİ BAHATTİN TATIŞ SOKAK NO : 22 DAİRE : GÖREVLİ MANZARA APARTMANI,4678
"
Laleli mahallesi onat caddesi no 95 A Şirinyer Buca İzmir",4858
293/26 sk. No:10 çamlıpınar Buca / İzmir BUCA,3542
"Q BEACH CLUB (MUTFAK)  Mersinaki Caddesi, 362. Sk. No:6, 35680 Foça/İzmir 35680 - Foça/İzmir",8076
Muradiye mahallesi bahçe sokak uyumaz apartmanı 47 daire 10,8004
1080. Sk. No:7 HÜRRİYET GAZİEMİR İzmir,2847
Kazımdirik mah 372 sk forum bornova yönetin binası bornova izmir KAZIMDİRİK BORNOVA İzmir,5736
Turan Mahallesi Atatürk Bulvarı No 82/1,1884
Opera caddesi mavişehir mahallesi pamukkale 4 giriş 60 kat 16 daire 65,6256
HASHOCA MAH.127SOKAK NO50 KAT 2 DAIRE 4 AKHISAR/MANISA,8406
Esenlik Mah. Zaim Ağa Cad. Filiz Apt. No:15 Kat:1 D:1 Yeşilyurt Karabağlar/İzmir,4771
Karaburun mahallesi sanayi sitesi 522. Sokak no:8 67 mermer Ortaca / Muğla ORTACA,9312
Tülbentli mah. Kumru geçidi sokak no:8  kat:3 daire:27 menemen TÜLBENTLİ MENEMEN İzmir,7754
Sanayi caddesi no 29 kat 1 daire 2 Han yapı üstü  MERKEZ DALAMAN Muğla,9204
4277 sokak no 2A Serintepe mh Altındağ Bornova İzmir,5162
Emek Mahallesi Mercan Sokak 6/9,10312
"Keçiliköy OSB, Mustafa Kemal Blv. No:13, Emas Makina",7776
Esenlik mahallesi Gökdere caddesi Karakuş apartmanı No 12 daire 8 Karabağlar Yeşilyurt İzmir,4770
1543 sokak no:6  Alsancak konutları daire158 EGE MAH ,5305
Çarşı sokak no :34 ŞİRİNCE SELÇUK İzmir,1947
beş eylul mah turan alakent cad no 26a engin ustanın yeri,3314
Terzi Sokak no 21 kat 2 daire 3 Bornova,481
Sinan mah. Gazi Ali Yücel sok. No 3 daire 8 armutalan marmaris,9420
"12500 Sokak, 50/A",2758
1431 Sokak no:5/B Eomed alsancak KAHRAMANLAR KONAK İzmir KONAK İzmir TR ,5297
Atatürk Mah 358 Sokak No 4 Daire 10 Manisa/akhisar Daire 10,8388
fener cad üzerinde a10 mavi bistro restorant ,73
"Muğla, Milas, Ören Mahallesi Yalı Mevkii 6 Nolu Sokak 2/3 Ören Mah",9728
Mavişehir Aziz Nesin Bulvarı Pamukkale 8 Giriş 95 KatNo:8/95 D:4r/Karşıyaka/İzmir  Kat:10 ,6247
KÜLTÜR MAH Kültür Mahallesi Atatürk Cadd esi 66C Martım Eczanesi Aliağa/İzmir İş,8243
Reşat Bey Mahallesi 167 Sokak No 62 Kat 2 Daire 4 Niyazi Turan Apartmanı,8367
izzet gökçimen  ortaokulu  köy içi mah 8064 sokak no22 /2,7200
5005 sok. Çınar Mah. No: 7 Kat 2 Çamdibi,5481
GAZİOSMAN PAŞA BULVARI NO 56 Z 1 ÇANKAYA /İZMİR KONAK,5074
MEHMET AKIF CADDESI İNKILAP MAH 93/6 BUCA İZMIR,4443
Babadağ TOKİ konutları c/8 kat 2 daire 10 KARAHASANLI MERKEZEFENDİ Denizli,1210
bahçedere mahallesi 1 çevre yolu caddesi  cezaevi lojmanları no : 63/3 çiğdem blok iç kapı no 9 aliağa izmir,8305
4160 sokak no 13 kat 1 daire 2 yeşilova mah. Bornova izmir daire 2,5380
1201 sk no:42 daire:1 ORTA TAVAS Denizli,232
İsmet inönü mahallesi 2100. sokak 13/1 çeşme İZMİR,2991
taşyaka mah.inönü bulvarı no:70/A Ziraat katılım bankası fethiye -muğla,8832
YAHŞİ MAH Ortakent yahsi mahallesi deniz caddesi 50/2 daire 1,9630
56 Sokak No 7 Kat 3 Daire 9 Gaziemir İzmir,2965
mustafa kemal mahallesi 694/10 sokak no 10 Mustafa kemal mah - Buca,3526
BAHÇELİEVLER MAH. BAHÇELİ EVLER CAD. NO: 122 D: 1 20125 MERKEZEFENDİ/DENİZLİ,723
Ege Mah. Ege mahallesi 1305 sokak no13e4 Şehzadeler Manisa,7704
ATATÜRK MAHALLESI LALE SOKAK NO 21 DAIRE 1 ORTACA,9322
Mehmet Akif Ersoy mah. 244/1 sk. No:4 D:5,5036
4057 sk no 1 d 1 Yunus Emre mahallesi Karabağlar İzmir,3635
Bestekar Sadi Hosses Sok. Sevim Apt. No 44 Daire 4 Kat 2,5830
"Keçiliköy OSB, 50. Yıl Cd. No:21 KEÇİLİKÖY OSB YUNUSEMRE Manisa",7783
Soğukkuyu Mah. Akın Kıvanç Sok. No:50 K:2 D:7 ,6757
"Denizli/PAMUKKALE
Anafartalar mh. 2140/2 sk.No:5 daire:4 ANAFARTALAR PAMUKKALE Denizli",940
Yazlık Siteler Sk. Ayder Evleri no32/42 BOĞAZİÇİ MİLAS Muğla,10164
-1661  no 20- DOĞANLAR BORNOVA İzmir,5414
Gölcük mahallesi 9432 sokak no 28 daire 2,7513
Burak reis cad. 5218 sok. No:11 kat:2 bornova/izmir,5348
Nurettin Ersoy Cd. KIRVELİ SALİHLİ Manisa,6631
Yunus Emre Mahallesi 6465 Sokak No 5 Emsan Evleri B3 blok kat 1 daire 1 Pamukkale/DENİZLİ,420
Mustafa Kemal mahallesi acıbadem yolu no:72 kat:3,7079
"Davutlar Güzelçamlı yolu, Menderes Cd. Poyraz Villaları 182 ba, seven for life otel çaprazı, bayraklı kapı GÜZELÇAMLI KUŞADASI Aydın",302
camikebir mah 85 sokak no 11 daire 4 kat 1 nazar apartmanı izmir seferihisar CAMİKEBİR SEFERİHİSAR İzmir,2378
Helvacı Fatih MH. 2406 SK no:34 Aliağa/İzmir,8086
İsmail hakkı karadayı cad manolya villa no 5 gökcebel yalıkavak,10026
Pamukkale Üniversitesi Kınıklı Kampüsü iktisadi ve idari bilimler fakültesi A blok kat:3 uluslararası ticaret ve finansman bölüm sekreterliği,435
Şemikler Mah. Hüseyin Çokal Cad. No:68-B D:22 20030 Merkezefendi/Denizli ŞEMİKLER MERKEZEFENDİ Denizli,1008
801. sk no:7 k:1  d:2 inönü mahallesi  ATATÜRK BORNOVA İzmir,6800
"Akdeniz caddesi no:4/2 , ekominiye komşu GÖLKÖY BODRUM Muğla",10001
270 Sokak No 93 Daire 2 EFENDİ AKHİSAR Manisa,8410
Orhaniye mah. Şht. Ast. Yıldıray Çeltiklioğlu cad. No:31A/19 Yeşill Rezidans - Muğla / Menteşe,10167
Cumhuriyet Mh. şehit ahmet yağız sokak no 39 kat3 TURGUTLU MANİSA,7097
Güzelköy Mah. Güzelköy mahallesi 1500 sokak no43 Pamukkale Denizli,1222
Zeytinkoy mah.karacaoglan caddesi No:9 kat:3 Denizli pamukkale,340
"Zeytinköy Mahallesi, Acıpayam Bulvarı, 5058 Sokak, No 2, Nova Life Apartmanı, Kat 4 daire 36 PAMUKKALE Denizli TR ",335
MEHMETÇİK Mehmetçik Mahallesi  Lisese 1caddesi.Sub ay loj H blok.Kat :1 No :1 MEHMETÇİK PAM UKKALE Denizli MEHMETÇİK   Pamukkale DENIZLI Türkiye,778
286. Sk. Gültekinler iş markezi no35 a blok kat2 daire5 bayraklı izmir MANSUROĞLU BAYRAKLI İzmir,5661
DENİZLİ DEVLET HASTANESİ A BLOK ZEMİN  KAT SARF DEPO BİRİMİ SIRAKAPILAR MERKEZEFENDİ Denizli,892
"Altınordu Mahallesi, 961. Sokak, No:4
Basmane, Konak, İzmir 
35240 ALTINORDU KONAK İzmir",5115
Kazim Dirik Mah 200 sokak no 32 kat1  Daire 2 Bornova İzmir,6074
1061 Sokak No 27 Daire 3 Gaziemir Izmir,2913
"Fatih mah. Zirve sok. No:18 daire:4 Bergama/İzmir

Fatih mah. Zirve sok. No:18 daire:4 Bergama/İzmir

35700 İZMİR

",8586
Ataşehir Mah. 8216/3 sokak Gültekinapt no:2 daire:9,6965
Foça mahallesi 957.sok No :4 daire 3 .,9004
Güzelhisar mahallesi Adnan Menderes bulvarı 59/sk No/1 kat/1 uçar apartmanı zens güzellik salonu ,1420
Villakent Mh. 5133sokak no2  MENEMEN İZMİR,7520
"Kocaçeşme Mah. Kocaçeşme mah, Fevzipaşa cad no 143/ kat2/4",6604
DOKUZEYLÜL MAH.343/1 SOK NO:107008GAZİEMİR Gaziemir İzmir TR ,3233
Berin Taşan Sokak Seçkin Apt No:68 Daire 6 Kat 2 BAHRİYE ÜÇOK KARŞIYAKA İzmir,5924
8251 sokak no 16 kat 2 Ataşehir mahallesi Çiğli İzmir ATAŞEHİR ÇİĞLİ İzmir,6977
yeni mh 4753 sk no 7 kat 4 zil 3 YENİ MAHALLE YUNUSEMRE Manisa,7828
gülpınar mah. eski pazar yeri. gümüş kıraathanesi no:9 GÜLPINAR KÖYCEĞİZ Muğla,9490
Karaçulha Mahallesi Cumhuriyet Bulvarı No.237/C Sunagro Tarım Muğla/Fethiye 237/C,8837
LEBEDOS CADDESİ 6310 SOK. 5/1 GÜMÜLDÜR/İZMİR NO.: 5 DAIRE: 1 MENDERES İzmir TR ,2034
Halil Rıfat paşa caddesi no:344 daire 3 AKIN SİMAV KONAK İzmir,4942
7014. Sk. Çınar Apartmanı No:36 GÜMÜŞPALA BAYRAKLI İzmir,6422
8927 sokak no 1 Kat 4 Daire 14 İzmir Çiğli evka 5 ,7272
"Kemalpaşa Osb Mahallesi, Kemalpaşa OSB Mah. 509 sok no:3 -KAİROS MAKİNA, 35730 Kemalpaşa/İzmir Türkiye",2690
TEPE Mah. Özel Marmaris Ağız ve Diş Sağlığı Polikliniği tepe mah 63.sok no:3-5/7 Cankurt İş merkezi Nüfus Müdürlüğü Üstü,9388
Yaşar Aksoy sokak no 71 daire 2,5959
Alaçatı mh.16119 sokak no:35,2798
Ufuk mahallesi 914. Sokak no45-B iç kapı no:2 Buca İzmir,4885
Yahya kemal beyatlı cad. No:24 Begos 2.bölge imeks tekstil  adatepe mahallesi,4032
Güzelçamlı MH milli park caddesi hisarlent sitesi no 48 GÜZELÇAMLI KUŞADASI Aydın,301
3247 sok no4,3002
TORBA MAH İnönü Cad.Selena evleri no.23/3 Torba-Bodrum-Muğla,10076
UĞUR MUMCU MAHALLESİ 1312 SK NO 68 DAİRE KAT NO 3 MENEMEN İZMİR NO.: 68 KAT: 3 DAIRE: 3 MENEMEN İzmir TR ,7554
Vali rahmi bey mahallesi menderes caddedi No:21/a denizbank buca şube,4549
Ali fuat cebesoy mahallesi Özarslan Apartmanı 9135/4 sokak no:30 daire:10 yesilyurt koop.evleri / İZMİR ALİ FUAT CEBESOY KARABAĞLAR İzmir,3819
"İçmeler mah. 127.sok. No :10
İçmeler Marmaris Muğla",9227
Mordoğan mahallesi namık kemal CAD no 25/2 ( sağlık ocağı bahçesi 112 Acil Sağlık Hizmetleri İstasyonu),7251
99. Sk. Park İaos Sitesi  1420 parsel no:14/5 GÜLLÜK MİLAS Muğla 48000,10278
ADALET MAH DENİZLİ 20 TR TR20 fatih sultan mehmet cad. umut 1 evl er bahar apt kat 1 no 7,866
Zeybek market,10223
FOÇA MAH  Cahit beğenç bulvarı no 19 Remer Hotel ,8992
5057 SK NO 10 DAİRE 4 EGE SİTESİ ,7948
1326. Sk. Diyetisyen Sena Tireli Sağlıklı Yaşam Merkezi No:22A ALTINTOP MERKEZEFENDİ Denizli,779
1420 sokak no 69 kat 5 daire 9 Konak izmir,5299
Muradiye mahallesi Muradiye Mah Gümüş Sk No:1 Daire:4 Kat:2 Tatlıcı Hurşit Apt Manisa/Yunusemre  Bina: 1 Kat: 2 Daire: 4 Yunusemre - MANİSA,8036
ŞAİR EŞREF MAH. MUSTAFA GÖKGÖZ PAŞA CADDESİ. NO 2.KAT 9  GEBEŞ APT. NO 2.KAT 9  Serinhisar/Denizli Serinhisar,244
GÜZELYURT MAH. GÜZELYURT MAHALLESI 5780 SOKAK PRESTIJ YASAM KONUTLARI 2 SITESI B BLOK DAIRE 2 YUNUSEMRE,7925
Mehmet Akif Ersoy Mah. İnönü Cad. No:111 Kemal Paşa Belediye,5048
düğerek mah. çayır mevki. lotus park evl eri 81K daire 1,10243
"Hürriyet Mahallesi 429.sk. No:31/5
Akhisar/MANİSA",8321
10027 sokak no:1 rero print matbaacilik ATATÜRK OSB ÇİĞLİ İzmir,7160
kurtuluş mah. süleyman demirel blv.no:9,3316
Yunus emre mahallesi 6460 sokak no 4 kat 1 daire 6 Pamukkale Denizli,420
 - 7096 sok. no. 54 daire. 1 orgeneral nafiz gürman mah. ,6412
1694 sk no:16 kat:3 d:4 olcan apt.8 (gelmeden gazete için aransın.),5996
Hürriyet mahallesi dispanser sokak no:2 kat:5 null,2112
6260 sokak no 25 daire 9 şemikler/karşıyaka/izmir ŞEMİKLER KARŞIYAKA İzmir,6276
atatürk mahallesi sedir sokak no 6 daire 6 kat 1 çağlar Apartmanı Atatürk mah - Bergama,8584
Siteler Mahallesi 6202. Sokak No 1 Alayont Apartmani Siteler Mah. Kat 2 D 1 ⁠Pamukkale,545
Kötekli mahallesi 254.sokak Sevil Apartmanı bina no:3 daire no:5,10122
8930 sok no.20 d:3 Aydın apt. evka 5 Çiğli,7322
YAKA Mah. Yaka mah. Şehit yüzbaşı kemal sok. No 72 daire 3 keşkek apt ,3185
Dinçer mah 2502sokak 62/1  Deha Güvenlik ,7646
İnönü caddesi 242/1 anıl apartmanı kat 2 daire 8 KONAK / İZMİR,4697
Hacı isa mahallesi cami sokak no50 daire3 urla izmir Hacı isa mahallesi cami sokak no50 daire3 urla izmir Urla İzmir TR ,3188
Soğucak Mah. 1448.Sk. Mavi Özbirlik Sit. 9/7A Kuşadası,464
Gölcükler mah. 1026 sokak can sitesi 7AA Blok,2730
Gazibeğendi Blv. Ramada Otel No:34 satınalma dpt. TÜRKMEN KUŞADASI Aydın,1746
Cumhuriyet Mahallesi 5103 sokak No:14 D:1,1946
"Özgür Mahallesi, 3904 Sokak, Numara 19, Daire 3 ",3479
Yenimahalle Mah. Eski Havaalanı Caddesı.ParkYaşamAtaşehir Park Yaşam Ataşehir Sitesi.BlokB4.K5,6961
1039 sokak No:4 Gülerkent sit. A blok kat:4 D:10 YENİŞAFAK MERKEZEFENDİ Denizli,977
Pazaryeri mahallesi süleyman demirel bulvari no 164 fethiye mugla PAZARYERİ FETHİYE Muğla,8908
CUMHURİYET Cumhuriyet mahallesi kursun sokak no 12 kat 3 MANISA/TURGUTLU,7104
Cumhuriyet mahallesi 503. Sokak No:7A (Cordonn Residence altı Eight Date Mağazası) ,8803
"Kurtuluş mahallesi 2022. Sokak no:29 My Suit apt. Kat :2 Daire :6  Efeler/ Aydın
 KURTULUŞ EFELER Aydın",1398
Fatih Mah.ATATÜRK CAD. KOÇSA SİESTA EVLERİ 76/14 A4 BLOK D4 -SARNIÇ YOLU ÜZERİ Gaziemir /izmir  GAZİEMİR İzmir,2897
 Sekiz Eylül Mah. 103/1 sokak nif apartmanı bina no.2 dair e no.1,2682
Köprübaşı mah cumhuriyet cad. Sanayi sitesi yanı Özgür Evleri B blok No /7 ,9979
BASINSİTESİ MAHALLESİ 162 SOKAK NO:9 D:3 SELİN APARTMANI,4717
İZMIR / ÇIĞLI / EVKA-2 / AYDINLIKEVLER MAHALLESI / 6787 SOKAK / NO:9 / DAIRE 3 NO.: 9 KAT: 2 DAIRE: 3 ÇİĞLİ İzmir TR ,7002
3500 sokak no:4 kat:3 ( Kayhan yüzme havuzu yanı )  CUMHURİYET PAMUKKALE Denizli,571
Gaybi mah. Adnan menderes cad. No 5/A,7737
Altay mahallesi serin sokak no17,6853
Çiftlik mh.161.sokak No.3 A.rizaköse ortaokulu arkasi,9062
6041 sk. No:15 Çelik Apart Kat:2 Daire:11 KINIKLI PAMUKKALE Denizli,415
Mehtap mahallesi  3646 So  No 12 kat 1 Konak İzmir,4848
ALTAY ALTAY MH.YEDİ EYLÜL YOLU NO:35 K:2 BOZKU R İŞHANI  SMMM AYŞE SUNAL ALTAY TURGUTLU  Manisa ALTAY   Turgutlu MANISA Türkiye,7109
Siteler mahallesi 9 eylül caddesi myrina park sitesi A blok kat 3 D 10 ALİAĞA İzmir,8194
Servergazi mah.Atakent 9 sok  no 4  Buyuk Kirla ngic sit.A blok kar 1 daire 4,508
GÜZELYURT MAH Güzelyurt Mh .Dr. İbrahim Erdemir Cd No:2 D:10 Sultan Konakları Sitesi C Blok,7935
KONACIK MAH. GAZ DERESİ CAD. ENERJI ELEKTRIK NO: 25 /10 BODRUM/ MUĞLA 3Enerji Elektrik ,9894
Yeni Şafak mahallesi 1020 sokak özcan  apartmanı No 23 kat 3 daire 10,1071
"istasyon mahallesi, gazialparslan caddesi, bina no 29, Anemon apartmanı kat 4, daire 12 Alaşehir",3411
Hoca Ahmet Yesevi Caddesi No:190 Buca/İzmir,3725
Hacı İsa Mahallesi Yeni Otopark Sokak No:3 Bostancıoğlu Apartmanı Kat:3,3051
"Reşadiye mahallesi kazım yılmaz bulvar sk, Reşadiye market tanı 3 katlı bina 1.kat mesken 263 no 1  Muğla datça REŞADİYE DATÇA Muğla",9127
Nazilli Adalet Sarayı.Polis Kontrol Merkezi.Zemin Kat.,1834
Güzelyurt Mh. Güzelyurt Mah. 5741 Sk. No:4/B D:17 YUNUSEMRE MANİSA,7943
Gerzele mah. Kanyon Cad. No 47 Vadikent 3 Sitesi B Blok  Daire 3,406
Bahçelievler Mah. Bahçelievler mahallesi Antikkent Sitesi  Ateş SokakNo.20,8561
Yeni mahalle cumhuriyet caddesi 70/A Onay mühendislik YENİ YATAĞAN Muğla YATAĞAN Muğla TR ,21
HÜRRİYET MAH 471 SK No3638 K3 evim,4448
205. Sk. No:51 Kat:2 Daire:8 KURUÇEŞME BUCA İzmir,3734
5720 SOK NO 1 DAİRE 1 MERİÇ MAHALLESİ BORNOVA İZMİR,5160
akyarlar mah kemer mevkii güneş tepe sitesi 4354 sokak site içinde petünye sokak 3-14 akyarlar turgutreis bodrum,9504
"Koyunbaba Mah,  Zakkum sok. 30/26, Gumuşluk KOYUNBABA 48000",9918
1014.SOKAK NO4 ADA APT. KAT4 DAİRE8 EFELER AYDIN,1416
Turunç mahallesi cumhuriyet merkez caddesi no:36A Ölmez Real Estate emlak ofisi,9190
İzmir Karaburun merkez mahallesi gelincik sokak no 3,7985
10023 sokak no:9 Oem ındustry,6928
Bariş Mah. 152/2 Sokak no 4B,4510
DEDETAŞI Mah. 528 sokak no 25 kat 2 ,6901
